,date,weekday,day,month,year,bib6,bio6,bib8,bio8
0,10775,Monday,1,7,1929,141,141,169,169
1,10776,Tuesday,2,7,1929,141,141,169,169
2,10777,Wednesday,3,7,1929,141,141,169,169
3,10778,Thursday,4,7,1929,141,141,169,169
4,10779,Friday,5,7,1929,141,141,169,169
5,10780,Saturday,6,7,1929,141,141,169,169
6,10781,Sunday,7,7,1929,141,141,169,169
7,10782,Monday,8,7,1929,141,141,169,169
8,10783,Tuesday,9,7,1929,141,141,169,169
9,10784,Wednesday,10,7,1929,141,141,169,169
10,10785,Thursday,11,7,1929,141,141,169,169
11,10786,Friday,12,7,1929,141,141,169,169
12,10787,Saturday,13,7,1929,141,141,169,169
13,10788,Sunday,14,7,1929,141,141,169,169
14,10789,Monday,15,7,1929,141,141,169,169
15,10790,Tuesday,16,7,1929,141,141,169,169
16,10791,Wednesday,17,7,1929,141,141,169,169
17,10792,Thursday,18,7,1929,141,141,169,169
18,10793,Friday,19,7,1929,141,141,169,169
19,10794,Saturday,20,7,1929,141,141,169,169
20,10795,Sunday,21,7,1929,141,141,169,169
21,10796,Monday,22,7,1929,141,141,169,169
22,10797,Tuesday,23,7,1929,141,141,169,169
23,10798,Wednesday,24,7,1929,141,141,169,169
24,10799,Thursday,25,7,1929,141,141,169,169
25,10800,Friday,26,7,1929,141,141,169,169
26,10801,Saturday,27,7,1929,141,141,169,169
27,10802,Sunday,28,7,1929,141,141,169,169
28,10803,Monday,29,7,1929,141,141,169,169
29,10804,Tuesday,30,7,1929,141,141,169,169
30,10805,Wednesday,31,7,1929,141,141,169,169
31,10806,Thursday,1,8,1929,141,141,169,169
32,10807,Friday,2,8,1929,141,141,169,169
33,10808,Saturday,3,8,1929,141,141,169,169
34,10809,Sunday,4,8,1929,141,141,169,169
35,10810,Monday,5,8,1929,141,141,169,169
36,10811,Tuesday,6,8,1929,141,141,169,169
37,10812,Wednesday,7,8,1929,141,141,169,169
38,10813,Thursday,8,8,1929,141,141,169,169
39,10814,Friday,9,8,1929,141,141,169,169
40,10815,Saturday,10,8,1929,141,141,169,169
41,10816,Sunday,11,8,1929,141,141,169,169
42,10817,Monday,12,8,1929,141,141,169,169
43,10818,Tuesday,13,8,1929,141,141,169,169
44,10819,Wednesday,14,8,1929,141,141,169,169
45,10820,Thursday,15,8,1929,141,141,169,169
46,10821,Friday,16,8,1929,141,141,169,169
47,10822,Saturday,17,8,1929,141,141,169,169
48,10823,Sunday,18,8,1929,141,141,169,169
49,10824,Monday,19,8,1929,141,141,169,169
50,10825,Tuesday,20,8,1929,141,141,169,169
51,10826,Wednesday,21,8,1929,141,141,169,169
52,10827,Thursday,22,8,1929,141,141,169,169
53,10828,Friday,23,8,1929,141,141,169,169
54,10829,Saturday,24,8,1929,141,141,169,169
55,10830,Sunday,25,8,1929,141,141,169,169
56,10831,Monday,26,8,1929,141,141,169,169
57,10832,Tuesday,27,8,1929,141,141,169,169
58,10833,Wednesday,28,8,1929,141,141,169,169
59,10834,Thursday,29,8,1929,141,141,169,169
60,10835,Friday,30,8,1929,141,141,169,169
61,10836,Saturday,31,8,1929,141,141,169,169
62,10837,Sunday,1,9,1929,141,141,169,169
63,10838,Monday,2,9,1929,141,141,169,169
64,10839,Tuesday,3,9,1929,141,141,169,169
65,10840,Wednesday,4,9,1929,141,141,169,169
66,10841,Thursday,5,9,1929,141,141,169,169
67,10842,Friday,6,9,1929,141,141,169,169
68,10843,Saturday,7,9,1929,141,141,169,169
69,10844,Sunday,8,9,1929,141,141,169,169
70,10845,Monday,9,9,1929,141,141,169,169
71,10846,Tuesday,10,9,1929,141,141,169,169
72,10847,Wednesday,11,9,1929,141,141,169,169
73,10848,Thursday,12,9,1929,141,141,169,169
74,10849,Friday,13,9,1929,141,141,169,169
75,10850,Saturday,14,9,1929,141,141,169,169
76,10851,Sunday,15,9,1929,141,141,169,169
77,10852,Monday,16,9,1929,141,141,169,169
78,10853,Tuesday,17,9,1929,141,141,169,169
79,10854,Wednesday,18,9,1929,141,141,169,169
80,10855,Thursday,19,9,1929,141,141,170,170
81,10856,Friday,20,9,1929,141,141,170,170
82,10857,Saturday,21,9,1929,141,141,170,170
83,10858,Sunday,22,9,1929,141,141,170,170
84,10859,Monday,23,9,1929,141,141,170,170
85,10860,Tuesday,24,9,1929,141,141,170,170
86,10861,Wednesday,25,9,1929,141,141,170,170
87,10862,Thursday,26,9,1929,141,141,170,170
88,10863,Friday,27,9,1929,141,141,170,170
89,10864,Saturday,28,9,1929,141,141,170,170
90,10865,Sunday,29,9,1929,141,141,170,170
91,10866,Monday,30,9,1929,141,141,170,170
92,10867,Tuesday,1,10,1929,141,141,170,170
93,10868,Wednesday,2,10,1929,141,141,170,170
94,10869,Thursday,3,10,1929,141,141,170,170
95,10870,Friday,4,10,1929,141,141,170,170
96,10871,Saturday,5,10,1929,141,141,170,170
97,10872,Sunday,6,10,1929,141,141,170,170
98,10873,Monday,7,10,1929,141,141,170,170
99,10874,Tuesday,8,10,1929,141,141,170,170
100,10875,Wednesday,9,10,1929,141,141,170,170
101,10876,Thursday,10,10,1929,141,141,170,170
102,10877,Friday,11,10,1929,141,141,170,170
103,10878,Saturday,12,10,1929,141,141,170,170
104,10879,Sunday,13,10,1929,141,141,170,170
105,10880,Monday,14,10,1929,141,141,170,170
106,10881,Tuesday,15,10,1929,141,141,170,170
107,10882,Wednesday,16,10,1929,141,141,170,170
108,10883,Thursday,17,10,1929,141,141,170,170
109,10884,Friday,18,10,1929,141,141,170,170
110,10885,Saturday,19,10,1929,141,141,170,170
111,10886,Sunday,20,10,1929,141,141,170,170
112,10887,Monday,21,10,1929,141,141,170,170
113,10888,Tuesday,22,10,1929,141,141,170,170
114,10889,Wednesday,23,10,1929,141,141,170,170
115,10890,Thursday,24,10,1929,141,141,170,170
116,10891,Friday,25,10,1929,141,141,170,170
117,10892,Saturday,26,10,1929,141,141,170,170
118,10893,Sunday,27,10,1929,141,141,170,170
119,10894,Monday,28,10,1929,141,141,170,170
120,10895,Tuesday,29,10,1929,141,141,170,170
121,10896,Wednesday,30,10,1929,141,141,170,170
122,10897,Thursday,31,10,1929,141,141,170,170
123,10898,Friday,1,11,1929,141,141,170,170
124,10899,Saturday,2,11,1929,141,141,170,170
125,10900,Sunday,3,11,1929,141,141,170,170
126,10901,Monday,4,11,1929,141,141,170,170
